Equivalent,Index
3403   LAGUNA - City of Biñan,3403
3404   LAGUNA - City of Cabuyao,3404
3405   LAGUNA - City of Calamba,3405
3406   LAGUNA - Calauan,3406
3407   LAGUNA - Cavinti,3407
3408   LAGUNA - Famy,3408
3409   LAGUNA - Kalayaan,3409
3410   LAGUNA - Liliw,3410
3411   LAGUNA - Los Baños,3411
3412   LAGUNA - Luisiana,3412
3413   LAGUNA - Lumban,3413
3414   LAGUNA - Mabitac,3414
3415   LAGUNA - Magdalena,3415
3416   LAGUNA - Majayjay,3416
3417   LAGUNA - Nagcarlan,3417
3418   LAGUNA - Paete,3418
3419   LAGUNA - Pagsanjan,3419
3420   LAGUNA - Pakil,3420
3421   LAGUNA - Pangil,3421
3422   LAGUNA - Pila,3422
3423   LAGUNA - Rizal,3423
3424   LAGUNA - City of San Pablo,3424
3425   LAGUNA - City of San Pedro,3425
3426   LAGUNA - Santa Cruz (Capital),3426
3427   LAGUNA - Santa Maria,3427
3428   LAGUNA - City of Santa Rosa,3428
3429   LAGUNA - Siniloan,3429
3430   LAGUNA - Victoria,3430
3501   LANAO DEL NORTE - Bacolod,3501
3502   LANAO DEL NORTE - Baloi,3502
3503   LANAO DEL NORTE - Baroy,3503
3504   LANAO DEL NORTE - City of Iligan,3504
3505   LANAO DEL NORTE - Kapatagan,3505
3506   LANAO DEL NORTE - Sultan Naga Dimaporo (Karomatan),3506
3507   LANAO DEL NORTE - Kauswagan,3507
3508   LANAO DEL NORTE - Kolambugan,3508
3509   LANAO DEL NORTE - Lala,3509
3510   LANAO DEL NORTE - Linamon,3510
3511   LANAO DEL NORTE - Magsaysay,3511
3512   LANAO DEL NORTE - Maigo,3512
3513   LANAO DEL NORTE - Matungao,3513
3514   LANAO DEL NORTE - Munai,3514
3515   LANAO DEL NORTE - Nunungan,3515
3516   LANAO DEL NORTE - Pantao Ragat,3516
3517   LANAO DEL NORTE - Poona Piagapo,3517
3518   LANAO DEL NORTE - Salvador,3518
3519   LANAO DEL NORTE - Sapad,3519
3520   LANAO DEL NORTE - Tagoloan,3520
3521   LANAO DEL NORTE - Tangcal,3521
3522   LANAO DEL NORTE - Tubod (Capital),3522
3523   LANAO DEL NORTE - Pantar,3523
3601   LANAO DEL SUR - Bacolod-Kalawi (Bacolod Grande),3601
3602   LANAO DEL SUR - Balabagan,3602
3603   LANAO DEL SUR - Balindong (Watu),3603
3604   LANAO DEL SUR - Bayang,3604
3605   LANAO DEL SUR - Binidayan,3605
3606   LANAO DEL SUR - Bubong,3606
3607   LANAO DEL SUR - Butig,3607
3609   LANAO DEL SUR - Ganassi,3609
3610   LANAO DEL SUR - Kapai,3610
3611   LANAO DEL SUR - Lumba-Bayabao (Maguing),3611
3612   LANAO DEL SUR - Lumbatan,3612
3613   LANAO DEL SUR - Madalum,3613
3614   LANAO DEL SUR - Madamba,3614
3615   LANAO DEL SUR - Malabang,3615
3616   LANAO DEL SUR - Marantao,3616
3617   LANAO DEL SUR - City of Marawi (Capital),3617
3618   LANAO DEL SUR - Masiu,3618
3619   LANAO DEL SUR - Mulondo,3619
3620   LANAO DEL SUR - Pagayawan (Tatarikan),3620
3621   LANAO DEL SUR - Piagapo,3621
3622   LANAO DEL SUR - Poona Bayabao (Gata),3622
3623   LANAO DEL SUR - Pualas,3623
3624   LANAO DEL SUR - Ditsaan-Ramain,3624
3625   LANAO DEL SUR - Saguiaran,3625
3626   LANAO DEL SUR - Tamparan,3626
3627   LANAO DEL SUR - Taraka,3627
3628   LANAO DEL SUR - Tubaran,3628
3629   LANAO DEL SUR - Tugaya,3629
3630   LANAO DEL SUR - Wao,3630
3631   LANAO DEL SUR - Marogong,3631
3632   LANAO DEL SUR - Calanogas,3632
3633   LANAO DEL SUR - Buadiposo-Buntong,3633
3634   LANAO DEL SUR - Maguing,3634
3635   LANAO DEL SUR - Picong (Sultan Gumander),3635
3636   LANAO DEL SUR - Lumbayanague,3636
3637   LANAO DEL SUR - Amai Manabilang (Bumbaran),3637
3638   LANAO DEL SUR - Tagoloan Ii,3638
3639   LANAO DEL SUR - Kapatagan,3639
3640   LANAO DEL SUR - Sultan Dumalondong,3640
3641   LANAO DEL SUR - Lumbaca-Unayan,3641
3701   LEYTE - Abuyog,3701
3702   LEYTE - Alangalang,3702
3703   LEYTE - Albuera,3703
3705   LEYTE - Babatngon,3705
3706   LEYTE - Barugo,3706
3707   LEYTE - Bato,3707
3708   LEYTE - City of Baybay,3708
3710   LEYTE - Burauen,3710
3713   LEYTE - Calubian,3713
3714   LEYTE - Capoocan,3714
3715   LEYTE - Carigara,3715
3717   LEYTE - Dagami,3717
3718   LEYTE - Dulag,3718
3719   LEYTE - Hilongos,3719
3720   LEYTE - Hindang,3720
3721   LEYTE - Inopacan,3721
3722   LEYTE - Isabel,3722
3723   LEYTE - Jaro,3723
3724   LEYTE - Javier (Bugho),3724
3725   LEYTE - Julita,3725
3726   LEYTE - Kananga,3726
3728   LEYTE - La Paz,3728
3729   LEYTE - Leyte,3729
3730   LEYTE - Macarthur,3730
3731   LEYTE - Mahaplag,3731
3733   LEYTE - Matag-Ob,3733
3734   LEYTE - Matalom,3734
3735   LEYTE - Mayorga,3735
3736   LEYTE - Merida,3736
3738   LEYTE - Ormoc City,3738
3739   LEYTE - Palo,3739
3740   LEYTE - Palompon,3740
3741   LEYTE - Pastrana,3741
3742   LEYTE - San Isidro,3742
3743   LEYTE - San Miguel,3743
3744   LEYTE - Santa Fe,3744
3745   LEYTE - Tabango,3745
3746   LEYTE - Tabontabon,3746
3747   LEYTE - City of Tacloban (Capital),3747
3748   LEYTE - Tanauan,3748
3749   LEYTE - Tolosa,3749
3750   LEYTE - Tunga,3750
3751   LEYTE - Villaba,3751
3801   MAGUINDANAO - Ampatuan,3801
3802   MAGUINDANAO - Buldon,3802
3803   MAGUINDANAO - Buluan,3803
3805   MAGUINDANAO - Datu Paglas,3805
3806   MAGUINDANAO - Datu Piang,3806
3807   MAGUINDANAO - Datu Odin Sinsuat (Dinaig),3807
3808   MAGUINDANAO - Shariff Aguak (Capital) (Maganoy),3808
3809   MAGUINDANAO - Matanog,3809
3810   MAGUINDANAO - Pagalungan,3810
3811   MAGUINDANAO - Parang,3811
3812   MAGUINDANAO - Sultan Kudarat (Nuling),3812
3813   MAGUINDANAO - Sultan Sa Barongis (Lambayong),3813
3814   MAGUINDANAO - Kabuntalan (Tumbao),3814
3815   MAGUINDANAO - Upi,3815
3816   MAGUINDANAO - Talayan,3816
3817   MAGUINDANAO - South Upi,3817
3818   MAGUINDANAO - Barira,3818
3819   MAGUINDANAO - Gen. S.K. Pendatun,3819
3820   MAGUINDANAO - Mamasapano,3820
3821   MAGUINDANAO - Talitay,3821
3822   MAGUINDANAO - Pagagawan,3822
3823   MAGUINDANAO - Paglat,3823
3824   MAGUINDANAO - Sultan Mastura,3824
3825   MAGUINDANAO - Guindulungan,3825
3826   MAGUINDANAO - Datu Saudi-Ampatuan,3826
3827   MAGUINDANAO - Datu Unsay,3827
3828   MAGUINDANAO - Datu Abdullah Sangki,3828
3829   MAGUINDANAO - Rajah Buayan,3829
3830   MAGUINDANAO - Datu Blah T. Sinsuat,3830
3831   MAGUINDANAO - Datu Anggal Midtimbang,3831
3832   MAGUINDANAO - Mangudadatu,3832
3833   MAGUINDANAO - Pandag,3833
3834   MAGUINDANAO - Northern Kabuntalan,3834
3835   MAGUINDANAO - Datu Hoffer Ampatuan,3835
3836   MAGUINDANAO - Datu Salibo,3836
3837   MAGUINDANAO - Shariff Saydona Mustapha,3837
3901   City of Manila - Tondo I/II,3901
3902   City of Manila - Binondo,3902
3903   City of Manila - Quiapo,3903
3904   City of Manila - San Nicolas,3904
3905   City of Manila - Santa Cruz,3905
3906   City of Manila - Sampaloc,3906
3907   City of Manila - San Miguel,3907
3908   City of Manila - Ermita,3908
3909   City of Manila - Intramuros,3909
3910   City of Manila - Malate,3910
3911   City of Manila - Paco,3911
3912   City of Manila - Pandacan,3912
3913   City of Manila - Port Area,3913
3914   City of Manila - Santa Ana,3914
4001   MARINDUQUE - Boac (Capital),4001
4002   MARINDUQUE - Buenavista,4002
4003   MARINDUQUE - Gasan,4003
4004   MARINDUQUE - Mogpog,4004
4005   MARINDUQUE - Santa Cruz,4005
4006   MARINDUQUE - Torrijos,4006
4101   MASBATE - Aroroy,4101
4102   MASBATE - Baleno,4102
4103   MASBATE - Balud,4103
4104   MASBATE - Batuan,4104
4105   MASBATE - Cataingan,4105
4106   MASBATE - Cawayan,4106
4107   MASBATE - Claveria,4107
4108   MASBATE - Dimasalang,4108
4109   MASBATE - Esperanza,4109
4110   MASBATE - Mandaon,4110
4111   MASBATE - City of Masbate (Capital),4111
4112   MASBATE - Milagros,4112
4113   MASBATE - Mobo,4113
4114   MASBATE - Monreal,4114
4115   MASBATE - Palanas,4115
4116   MASBATE - Pio V. Corpuz (Limbuhan),4116
4117   MASBATE - Placer,4117
4118   MASBATE - San Fernando,4118
4119   MASBATE - San Jacinto,4119
4120   MASBATE - San Pascual,4120
4121   MASBATE - Uson,4121
4201   MISAMIS OCCIDENTAL - Aloran,4201
4202   MISAMIS OCCIDENTAL - Baliangao,4202
4203   MISAMIS OCCIDENTAL - Bonifacio,4203
4204   MISAMIS OCCIDENTAL - Calamba,4204
4205   MISAMIS OCCIDENTAL - Clarin,4205
4206   MISAMIS OCCIDENTAL - Concepcion,4206
4207   MISAMIS OCCIDENTAL - Jimenez,4207
4208   MISAMIS OCCIDENTAL - Lopez Jaena,4208
4209   MISAMIS OCCIDENTAL - City of Oroquieta (Capital),4209
4210   MISAMIS OCCIDENTAL - City of Ozamiz,4210
4211   MISAMIS OCCIDENTAL - Panaon,4211
4212   MISAMIS OCCIDENTAL - Plaridel,4212
4213   MISAMIS OCCIDENTAL - Sapang Dalaga,4213
4214   MISAMIS OCCIDENTAL - Sinacaban,4214
4215   MISAMIS OCCIDENTAL - City of Tangub,4215
4216   MISAMIS OCCIDENTAL - Tudela,4216
4217   MISAMIS OCCIDENTAL - Don Victoriano Chiongbian (Don Mariano Marcos),4217
4301   MISAMIS ORIENTAL - Alubijid,4301
4302   MISAMIS ORIENTAL - Balingasag,4302
4303   MISAMIS ORIENTAL - Balingoan,4303
4304   MISAMIS ORIENTAL - Binuangan,4304
4305   MISAMIS ORIENTAL - City of Cagayan De Oro (Capital),4305
4306   MISAMIS ORIENTAL - Claveria,4306
4307   MISAMIS ORIENTAL - City of El Salvador,4307
4308   MISAMIS ORIENTAL - City of Gingoog,4308
4309   MISAMIS ORIENTAL - Gitagum,4309
4310   MISAMIS ORIENTAL - Initao,4310
4311   MISAMIS ORIENTAL - Jasaan,4311
4312   MISAMIS ORIENTAL - Kinoguitan,4312
4313   MISAMIS ORIENTAL - Lagonglong,4313
4314   MISAMIS ORIENTAL - Laguindingan,4314
4315   MISAMIS ORIENTAL - Libertad,4315
4316   MISAMIS ORIENTAL - Lugait,4316
4317   MISAMIS ORIENTAL - Magsaysay (Linugos),4317
4318   MISAMIS ORIENTAL - Manticao,4318
4319   MISAMIS ORIENTAL - Medina,4319
4320   MISAMIS ORIENTAL - Naawan,4320
4321   MISAMIS ORIENTAL - Opol,4321
4322   MISAMIS ORIENTAL - Salay,4322
4323   MISAMIS ORIENTAL - Sugbongcogon,4323
4324   MISAMIS ORIENTAL - Tagoloan,4324
4325   MISAMIS ORIENTAL - Talisayan,4325
4326   MISAMIS ORIENTAL - Villanueva,4326
4401   MOUNTAIN PROVINCE - Barlig,4401
4402   MOUNTAIN PROVINCE - Bauko,4402
4403   MOUNTAIN PROVINCE - Besao,4403
4404   MOUNTAIN PROVINCE - Bontoc (Capital),4404
4405   MOUNTAIN PROVINCE - Natonin,4405
4406   MOUNTAIN PROVINCE - Paracelis,4406
4407   MOUNTAIN PROVINCE - Sabangan,4407
4408   MOUNTAIN PROVINCE - Sadanga,4408
4409   MOUNTAIN PROVINCE - Sagada,4409
4410   MOUNTAIN PROVINCE - Tadian,4410
4501   NEGROS OCCIDENTAL - City of Bacolod (Capital),4501
4502   NEGROS OCCIDENTAL - City of Bago,4502
4503   NEGROS OCCIDENTAL - Binalbagan,4503
4504   NEGROS OCCIDENTAL - City of Cadiz,4504
4505   NEGROS OCCIDENTAL - Calatrava,4505
4506   NEGROS OCCIDENTAL - Candoni,4506
4507   NEGROS OCCIDENTAL - Cauayan,4507
4508   NEGROS OCCIDENTAL - Enrique B. Magalona (Saravia),4508
4509   NEGROS OCCIDENTAL - City of Escalante,4509
4510   NEGROS OCCIDENTAL - City of Himamaylan,4510
4511   NEGROS OCCIDENTAL - Hinigaran,4511
4512   NEGROS OCCIDENTAL - Hinoba-an (Asia),4512
4513   NEGROS OCCIDENTAL - Ilog,4513
4514   NEGROS OCCIDENTAL - Isabela,4514
4515   NEGROS OCCIDENTAL - City of Kabankalan,4515
4516   NEGROS OCCIDENTAL - City of La Carlota,4516
4517   NEGROS OCCIDENTAL - La Castellana,4517
4518   NEGROS OCCIDENTAL - Manapla,4518
4519   NEGROS OCCIDENTAL - Moises Padilla (Magallon),4519
4520   NEGROS OCCIDENTAL - Murcia,4520
4521   NEGROS OCCIDENTAL - Pontevedra,4521
4522   NEGROS OCCIDENTAL - Pulupandan,4522
4523   NEGROS OCCIDENTAL - City of Sagay,4523
4524   NEGROS OCCIDENTAL - City of San Carlos,4524
4525   NEGROS OCCIDENTAL - San Enrique,4525
4526   NEGROS OCCIDENTAL - City of Silay,4526
4527   NEGROS OCCIDENTAL - City of Sipalay,4527
4528   NEGROS OCCIDENTAL - City of Talisay,4528
4529   NEGROS OCCIDENTAL - Toboso,4529
4530   NEGROS OCCIDENTAL - Valladolid,4530
4531   NEGROS OCCIDENTAL - City of Victorias,4531
4532   NEGROS OCCIDENTAL - Salvador Benedicto,4532
4601   NEGROS ORIENTAL - Amlan (Ayuquitan),4601
4602   NEGROS ORIENTAL - Ayungon,4602
4603   NEGROS ORIENTAL - Bacong,4603
4604   NEGROS ORIENTAL - City of Bais,4604
4605   NEGROS ORIENTAL - Basay,4605
4606   NEGROS ORIENTAL - City of Bayawan (Tulong),4606
4607   NEGROS ORIENTAL - Bindoy (Payabon),4607
4608   NEGROS ORIENTAL - City of Canlaon,4608
4609   NEGROS ORIENTAL - Dauin,4609
4610   NEGROS ORIENTAL - City of Dumaguete (Capital),4610
4611   NEGROS ORIENTAL - City of Guihulngan,4611
4612   NEGROS ORIENTAL - Jimalalud,4612
4613   NEGROS ORIENTAL - La Libertad,4613
4614   NEGROS ORIENTAL - Mabinay,4614
4615   NEGROS ORIENTAL - Manjuyod,4615
4616   NEGROS ORIENTAL - Pamplona,4616
4617   NEGROS ORIENTAL - San Jose,4617
4618   NEGROS ORIENTAL - Santa Catalina,4618
4619   NEGROS ORIENTAL - Siaton,4619
4620   NEGROS ORIENTAL - Sibulan,4620
4621   NEGROS ORIENTAL - City of Tanjay,4621
4622   NEGROS ORIENTAL - Tayasan,4622
4623   NEGROS ORIENTAL - Valencia (Luzurriaga),4623
4624   NEGROS ORIENTAL - Vallehermoso,4624
4625   NEGROS ORIENTAL - Zamboanguita,4625
4701   NORTH COTABATO - Alamada,4701
4702   NORTH COTABATO - Carmen,4702
4703   NORTH COTABATO - Kabacan,4703
4704   NORTH COTABATO - City of Kidapawan (Capital),4704
4705   NORTH COTABATO - Libungan,4705
4706   NORTH COTABATO - Magpet,4706
4707   NORTH COTABATO - Makilala,4707
4708   NORTH COTABATO - Matalam,4708
4709   NORTH COTABATO - Midsayap,4709
4710   NORTH COTABATO - M'Lang,4710
4711   NORTH COTABATO - Pigkawayan,4711
4712   NORTH COTABATO - Pikit,4712
4713   NORTH COTABATO - President Roxas,4713
4714   NORTH COTABATO - Tulunan,4714
4715   NORTH COTABATO - Antipas,4715
4716   NORTH COTABATO - Banisilan,4716
4717   NORTH COTABATO - Aleosan,4717
4718   NORTH COTABATO - Arakan,4718
4801   NORTHERN SAMAR - Allen,4801
4802   NORTHERN SAMAR - Biri,4802
4803   NORTHERN SAMAR - Bobon,4803
4804   NORTHERN SAMAR - Capul,4804
4805   NORTHERN SAMAR - Catarman (Capital),4805
4806   NORTHERN SAMAR - Catubig,4806
4807   NORTHERN SAMAR - Gamay,4807
4808   NORTHERN SAMAR - Laoang,4808
4809   NORTHERN SAMAR - Lapinig,4809
4810   NORTHERN SAMAR - Las Navas,4810
4811   NORTHERN SAMAR - Lavezares,4811
4812   NORTHERN SAMAR - Mapanas,4812
4813   NORTHERN SAMAR - Mondragon,4813
4814   NORTHERN SAMAR - Palapag,4814
4815   NORTHERN SAMAR - Pambujan,4815
4816   NORTHERN SAMAR - Rosario,4816
4817   NORTHERN SAMAR - San Antonio,4817
4818   NORTHERN SAMAR - San Isidro,4818
4819   NORTHERN SAMAR - San Jose,4819
4820   NORTHERN SAMAR - San Roque,4820
4821   NORTHERN SAMAR - San Vicente,4821
4822   NORTHERN SAMAR - Silvino Lobos,4822
4823   NORTHERN SAMAR - Victoria,4823
4824   NORTHERN SAMAR - Lope De Vega,4824
4901   NUEVA ECIJA - Aliaga,4901
4902   NUEVA ECIJA - Bongabon,4902
4903   NUEVA ECIJA - City of Cabanatuan,4903
4904   NUEVA ECIJA - Cabiao,4904
4905   NUEVA ECIJA - Carranglan,4905
4906   NUEVA ECIJA - Cuyapo,4906
4907   NUEVA ECIJA - Gabaldon (Bitulok & Sabani),4907
4908   NUEVA ECIJA - City of Gapan,4908
4909   NUEVA ECIJA - General Mamerto Natividad,4909
4910   NUEVA ECIJA - General Tinio (Papaya),4910
4911   NUEVA ECIJA - Guimba,4911
4912   NUEVA ECIJA - Jaen,4912
4913   NUEVA ECIJA - Laur,4913
4914   NUEVA ECIJA - Licab,4914
4915   NUEVA ECIJA - Llanera,4915
4916   NUEVA ECIJA - Lupao,4916
4917   NUEVA ECIJA - Science City of Muñoz,4917
4918   NUEVA ECIJA - Nampicuan,4918
4919   NUEVA ECIJA - City of Palayan (Capital),4919
4920   NUEVA ECIJA - Pantabangan,4920
4921   NUEVA ECIJA - Peñaranda,4921
4922   NUEVA ECIJA - Quezon,4922
4923   NUEVA ECIJA - Rizal,4923
4924   NUEVA ECIJA - San Antonio,4924
4925   NUEVA ECIJA - San Isidro,4925
4926   NUEVA ECIJA - San Jose City,4926
4927   NUEVA ECIJA - San Leonardo,4927
4928   NUEVA ECIJA - Santa Rosa,4928
4929   NUEVA ECIJA - Santo Domingo,4929
4930   NUEVA ECIJA - Talavera,4930
4931   NUEVA ECIJA - Talugtug,4931
4932   NUEVA ECIJA - Zaragoza,4932
5001   NUEVA VIZCAYA - Ambaguio,5001
5002   NUEVA VIZCAYA - Aritao,5002
5003   NUEVA VIZCAYA - Bagabag,5003
5004   NUEVA VIZCAYA - Bambang,5004
5005   NUEVA VIZCAYA - Bayombong (Capital),5005
5006   NUEVA VIZCAYA - Diadi,5006
5007   NUEVA VIZCAYA - Dupax del Norte,5007
5008   NUEVA VIZCAYA - Dupax del Sur,5008
5009   NUEVA VIZCAYA - Kasibu,5009
5010   NUEVA VIZCAYA - Kayapa,5010
5011   NUEVA VIZCAYA - Quezon,5011
5012   NUEVA VIZCAYA - Santa Fe,5012
5013   NUEVA VIZCAYA - Solano,5013
5014   NUEVA VIZCAYA - Villaverde,5014
5015   NUEVA VIZCAYA - Alfonso Castaneda,5015
5101   OCCIDENTAL MINDORO - Abra De Ilog,5101
5102   OCCIDENTAL MINDORO - Calintaan,5102
5103   OCCIDENTAL MINDORO - Looc,5103
5104   OCCIDENTAL MINDORO - Lubang,5104
5105   OCCIDENTAL MINDORO - Magsaysay,5105
5106   OCCIDENTAL MINDORO - Mamburao (Capital),5106
5107   OCCIDENTAL MINDORO - Paluan,5107
5108   OCCIDENTAL MINDORO - Rizal,5108
5109   OCCIDENTAL MINDORO - Sablayan,5109
5110   OCCIDENTAL MINDORO - San Jose,5110
5111   OCCIDENTAL MINDORO - Santa Cruz,5111
5201   ORIENTAL MINDORO - Baco,5201
5202   ORIENTAL MINDORO - Bansud,5202
5203   ORIENTAL MINDORO - Bongabong,5203
5204   ORIENTAL MINDORO - Bulalacao (San Pedro),5204
5205   ORIENTAL MINDORO - City of Calapan (Capital),5205
5206   ORIENTAL MINDORO - Gloria,5206
5207   ORIENTAL MINDORO - Mansalay,5207
5208   ORIENTAL MINDORO - Naujan,5208
5209   ORIENTAL MINDORO - Pinamalayan,5209
5210   ORIENTAL MINDORO - Pola,5210
5211   ORIENTAL MINDORO - Puerto Galera,5211
5212   ORIENTAL MINDORO - Roxas,5212
5213   ORIENTAL MINDORO - San Teodoro,5213
5214   ORIENTAL MINDORO - Socorro,5214
5215   ORIENTAL MINDORO - Victoria,5215
5301   PALAWAN - Aborlan,5301
5302   PALAWAN - Agutaya,5302
5303   PALAWAN - Araceli,5303
5304   PALAWAN - Balabac,5304
5305   PALAWAN - Bataraza,5305
5306   PALAWAN - Brooke'S Point,5306
5307   PALAWAN - Busuanga,5307
5308   PALAWAN - Cagayancillo,5308
5309   PALAWAN - Coron,5309
5310   PALAWAN - Cuyo,5310
5311   PALAWAN - Dumaran,5311
5312   PALAWAN - El Nido (Bacuit),5312
5313   PALAWAN - Linapacan,5313
5314   PALAWAN - Magsaysay,5314
5315   PALAWAN - Narra,5315
5316   PALAWAN - City of Puerto Princesa (Capital),5316
5317   PALAWAN - Quezon,5317
5318   PALAWAN - Roxas,5318
5319   PALAWAN - San Vicente,5319
5320   PALAWAN - Taytay,5320
5321   PALAWAN - Kalayaan,5321
5322   PALAWAN - Culion,5322
5323   PALAWAN - Rizal (Marcos),5323
5324   PALAWAN - Sofronio Española,5324
5401   PAMPANGA - City of Angeles,5401
5402   PAMPANGA - Apalit,5402
5403   PAMPANGA - Arayat,5403
5404   PAMPANGA - Bacolor,5404
5405   PAMPANGA - Candaba,5405
5406   PAMPANGA - Floridablanca,5406
5407   PAMPANGA - Guagua,5407
5408   PAMPANGA - Lubao,5408
5409   PAMPANGA - Mabalacat City,5409
5410   PAMPANGA - Macabebe,5410
5411   PAMPANGA - Magalang,5411
5412   PAMPANGA - Masantol,5412
5413   PAMPANGA - Mexico,5413
5414   PAMPANGA - Minalin,5414
5415   PAMPANGA - Porac,5415
5416   PAMPANGA - City of San Fernando (Capital),5416
5417   PAMPANGA - San Luis,5417
5418   PAMPANGA - San Simon,5418
5419   PAMPANGA - Santa Ana,5419
5420   PAMPANGA - Santa Rita,5420
5421   PAMPANGA - Santo Tomas,5421
5422   PAMPANGA - Sasmuan (Sexmoan),5422
5501   PANGASINAN - Agno,5501
5502   PANGASINAN - Aguilar,5502
5503   PANGASINAN - City of Alaminos,5503
5504   PANGASINAN - Alcala,5504
5505   PANGASINAN - Anda,5505
5506   PANGASINAN - Asingan,5506
5507   PANGASINAN - Balungao,5507
5508   PANGASINAN - Bani,5508
5509   PANGASINAN - Basista,5509
5510   PANGASINAN - Bautista,5510
5511   PANGASINAN - Bayambang,5511
5512   PANGASINAN - Binalonan,5512
5513   PANGASINAN - Binmaley,5513
5514   PANGASINAN - Bolinao,5514
5515   PANGASINAN - Bugallon,5515
5516   PANGASINAN - Burgos,5516
5517   PANGASINAN - Calasiao,5517
5518   PANGASINAN - City of Dagupan,5518
5519   PANGASINAN - Dasol,5519
5520   PANGASINAN - Infanta,5520
5521   PANGASINAN - Labrador,5521
5522   PANGASINAN - Lingayen (Capital),5522
5523   PANGASINAN - Mabini,5523
5524   PANGASINAN - Malasiqui,5524
5525   PANGASINAN - Manaoag,5525
5526   PANGASINAN - Mangaldan,5526
5527   PANGASINAN - Mangatarem,5527
5528   PANGASINAN - Mapandan,5528
5529   PANGASINAN - Natividad,5529
5530   PANGASINAN - Pozorrubio,5530
5531   PANGASINAN - Rosales,5531
5532   PANGASINAN - City of San Carlos,5532
5533   PANGASINAN - San Fabian,5533
5534   PANGASINAN - San Jacinto,5534
5535   PANGASINAN - San Manuel,5535
5536   PANGASINAN - San Nicolas,5536
5537   PANGASINAN - San Quintin,5537
5538   PANGASINAN - Santa Barbara,5538
5539   PANGASINAN - Santa Maria,5539
5540   PANGASINAN - Santo Tomas,5540
5541   PANGASINAN - Sison,5541
5542   PANGASINAN - Sual,5542
5543   PANGASINAN - Tayug,5543
5544   PANGASINAN - Umingan,5544
5545   PANGASINAN - Urbiztondo,5545
5546   PANGASINAN - City of Urdaneta,5546
5547   PANGASINAN - Villasis,5547
5548   PANGASINAN - Laoac,5548
5601   QUEZON - Agdangan,5601
5602   QUEZON - Alabat,5602
5603   QUEZON - Atimonan,5603
5605   QUEZON - Buenavista,5605
5606   QUEZON - Burdeos,5606
5607   QUEZON - Calauag,5607
5608   QUEZON - Candelaria,5608
5610   QUEZON - Catanauan,5610
5615   QUEZON - Dolores,5615
5616   QUEZON - General Luna,5616
5617   QUEZON - General Nakar,5617
5618   QUEZON - Guinayangan,5618
5619   QUEZON - Gumaca,5619
5620   QUEZON - Infanta,5620
5621   QUEZON - Jomalig,5621
5622   QUEZON - Lopez,5622
5623   QUEZON - Lucban,5623
5624   QUEZON - City of Lucena (Capital),5624
5625   QUEZON - Macalelon,5625
5627   QUEZON - Mauban,5627
5628   QUEZON - Mulanay,5628
5629   QUEZON - Padre Burgos,5629
5630   QUEZON - Pagbilao,5630
5631   QUEZON - Panukulan,5631
5632   QUEZON - Patnanungan,5632
5633   QUEZON - Perez,5633
5634   QUEZON - Pitogo,5634
5635   QUEZON - Plaridel,5635
5636   QUEZON - Polillo,5636
5637   QUEZON - Quezon,5637
5638   QUEZON - Real,5638
5639   QUEZON - Sampaloc,5639
5640   QUEZON - San Andres,5640
5641   QUEZON - San Antonio,5641
5642   QUEZON - San Francisco (Aurora),5642
5644   QUEZON - San Narciso,5644
5645   QUEZON - Sariaya,5645
5646   QUEZON - Tagkawayan,5646
5647   QUEZON - City of Tayabas,5647
5648   QUEZON - Tiaong,5648
5649   QUEZON - Unisan,5649
5701   QUIRINO - Aglipay,5701
5702   QUIRINO - Cabarroguis (Capital),5702
5703   QUIRINO - Diffun,5703
5704   QUIRINO - Maddela,5704
5705   QUIRINO - Saguday,5705
5706   QUIRINO - Nagtipunan,5706
5801   RIZAL - Angono,5801
5802   RIZAL - City of Antipolo (Capital),5802
5803   RIZAL - Baras,5803
5804   RIZAL - Binangonan,5804
5805   RIZAL - Cainta,5805
5806   RIZAL - Cardona,5806
5807   RIZAL - Jala-Jala,5807
5808   RIZAL - Rodriguez (Montalban),5808
5809   RIZAL - Morong,5809
5810   RIZAL - Pililla,5810
5811   RIZAL - San Mateo,5811
5812   RIZAL - Tanay,5812
5813   RIZAL - Taytay,5813
5814   RIZAL - Teresa,5814
5901   ROMBLON    - Alcantara,5901
5902   ROMBLON    - Banton,5902
5903   ROMBLON    - Cajidiocan,5903
5904   ROMBLON    - Calatrava,5904
5905   ROMBLON    - Concepcion,5905
5906   ROMBLON    - Corcuera,5906
5907   ROMBLON    - Looc,5907
5908   ROMBLON    - Magdiwang,5908
5909   ROMBLON    - Odiongan,5909
5910   ROMBLON    - Romblon (Capital),5910
5911   ROMBLON    - San Agustin,5911
5912   ROMBLON    - San Andres,5912
5913   ROMBLON    - San Fernando,5913
5914   ROMBLON    - San Jose,5914
5915   ROMBLON    - Santa Fe,5915
5916   ROMBLON    - Ferrol,5916
5917   ROMBLON    - Santa Maria (Imelda),5917
6001   SAMAR (WESTERN SAMAR) - Almagro,6001
6002   SAMAR (WESTERN SAMAR) - Basey,6002
6003   SAMAR (WESTERN SAMAR) - City of Calbayog,6003
6004   SAMAR (WESTERN SAMAR) - Calbiga,6004
6005   SAMAR (WESTERN SAMAR) - City of Catbalogan (Capital),6005
6006   SAMAR (WESTERN SAMAR) - Daram,6006
6007   SAMAR (WESTERN SAMAR) - Gandara,6007
